Trait	PC	Delta	Trait_long	Label	stars
GRPMW	PC3	0.00128453273356724	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC4	0.00804389967875483	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC5	-0.00191784387929409	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC6	0.082260912691349	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC7	0.000855908065305297	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC8	-0.00843675838460016	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC9	-0.0161201698937859	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC10	-0.00327162670547428	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC11	0.00768859832225249	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC12	0.000400615327474211	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC13	0.00996635244410907	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
GRPMW	PC14	0.00538355936353585	Granulocyte percentage of myeloid white cells	Granulocyte percentage of myeloid white cells	""
HBC	PC1	0.00167556674933502	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC2	5.2296611154988e-05	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC3	-0.00400434444694168	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC4	-0.00574914569229218	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC5	-0.000730495945664186	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC6	0.00196300186126953	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC7	0.0553877347328916	Hemoglobin concentration	Hemoglobin concentration	""
HBC	PC8	0.0269677080159469	Hemoglobin concentration	Hemoglobin concentration	""
